cluster_id,fire_count,total_acres_burned,avg_acres_burned,max_fire_size,centroid_lon,centroid_lat,risk_score
2,129,4741655,36757.01550387597,1068802,-123.16019086932107,41.27497475701256,81.02710465116279
0,273,5885442,21558.395604395606,979795,-119.47565666252889,37.53549511993043,76.46751868131868
7,36,1579208,43866.88888888889,427048,-122.52917060786962,38.78951617077286,53.182946666666666
8,5,432686,86537.2,405787,-121.44127825918137,37.42339611850453,52.30838
3,49,1152523,23520.877551020407,413496,-121.09088903092257,41.931852686008035,51.46602326530612
1,87,678064,7793.83908045977,115728,-117.10555435990926,33.60807055372096,44.081831724137935
5,65,720741,11088.323076923078,131921,-120.55738436271125,35.692020921722296,37.24175692307692
6,18,569905,31661.38888888889,306811,-119.9825269975707,41.03421235741644,35.10707666666667
4,6,49276,8212.666666666666,25489,-116.43829845744737,37.091452089988344,6.39314
